"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Feb 02 07:24:28 GMT 2025","Sun Feb 02 07:24:28 GMT 2025","332","Reqres Automation API Suite","API Test Negative","apiauto.TestNegative","apiauto.TestNegative","testNegativeRegisterUnsuccessful","testNegativeRegisterUnsuccessful",""
"passed","Sun Feb 02 07:24:22 GMT 2025","Sun Feb 02 07:24:25 GMT 2025","2195","Reqres Automation API Suite","API Test Positive","apiauto.TestReqres","apiauto.TestReqres","testDeleteUser","testDeleteUser",""
"passed","Sun Feb 02 07:24:26 GMT 2025","Sun Feb 02 07:24:27 GMT 2025","528","Reqres Automation API Suite","API Test Positive","apiauto.TestReqres","apiauto.TestReqres","testPutUser","testPutUser",""
"passed","Sun Feb 02 07:24:25 GMT 2025","Sun Feb 02 07:24:26 GMT 2025","878","Reqres Automation API Suite","API Test Positive","apiauto.TestReqres","apiauto.TestReqres","testGetListUsers","testGetListUsers",""
"passed","Sun Feb 02 07:24:26 GMT 2025","Sun Feb 02 07:24:26 GMT 2025","475","Reqres Automation API Suite","API Test Positive","apiauto.TestReqres","apiauto.TestReqres","testPatchUser","testPatchUser",""
"passed","Sun Feb 02 07:24:27 GMT 2025","Sun Feb 02 07:24:28 GMT 2025","654","Reqres Automation API Suite","API Test Positive","apiauto.TestReqres","apiauto.TestReqres","testValidateJsonSchemaGetSingleUser","testValidateJsonSchemaGetSingleUser",""
"passed","Sun Feb 02 07:24:28 GMT 2025","Sun Feb 02 07:24:28 GMT 2025","302","Reqres Automation API Suite","API Test Negative","apiauto.TestNegative","apiauto.TestNegative","testNegativeGetUser","testNegativeGetUser",""
"passed","Sun Feb 02 07:24:26 GMT 2025","Sun Feb 02 07:24:26 GMT 2025","353","Reqres Automation API Suite","API Test Positive","apiauto.TestReqres","apiauto.TestReqres","testPostCreateUser","testPostCreateUser",""
