"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Feb 02 07:40:17 GMT 2025","Sun Feb 02 07:40:18 GMT 2025","302","Reqres Automation API Suite","API Test Negative","apiauto.TestNegative","apiauto.TestNegative","testNegativeRegisterUnsuccessful","testNegativeRegisterUnsuccessful",""
"passed","Sun Feb 02 07:40:16 GMT 2025","Sun Feb 02 07:40:16 GMT 2025","326","Reqres Automation API Suite","API Test Positive","apiauto.TestReqres","apiauto.TestReqres","testPostCreateUser","testPostCreateUser",""
"passed","Sun Feb 02 07:40:15 GMT 2025","Sun Feb 02 07:40:16 GMT 2025","430","Reqres Automation API Suite","API Test Positive","apiauto.TestReqres","apiauto.TestReqres","testPatchUser","testPatchUser",""
"passed","Sun Feb 02 07:40:17 GMT 2025","Sun Feb 02 07:40:17 GMT 2025","284","Reqres Automation API Suite","API Test Negative","apiauto.TestNegative","apiauto.TestNegative","testNegativeGetUser","testNegativeGetUser",""
"passed","Sun Feb 02 07:40:16 GMT 2025","Sun Feb 02 07:40:17 GMT 2025","663","Reqres Automation API Suite","API Test Positive","apiauto.TestReqres","apiauto.TestReqres","testValidateJsonSchemaGetSingleUser","testValidateJsonSchemaGetSingleUser",""
"passed","Sun Feb 02 07:40:14 GMT 2025","Sun Feb 02 07:40:15 GMT 2025","859","Reqres Automation API Suite","API Test Positive","apiauto.TestReqres","apiauto.TestReqres","testGetListUsers","testGetListUsers",""
"passed","Sun Feb 02 07:40:16 GMT 2025","Sun Feb 02 07:40:16 GMT 2025","578","Reqres Automation API Suite","API Test Positive","apiauto.TestReqres","apiauto.TestReqres","testPutUser","testPutUser",""
"passed","Sun Feb 02 07:40:12 GMT 2025","Sun Feb 02 07:40:14 GMT 2025","2351","Reqres Automation API Suite","API Test Positive","apiauto.TestReqres","apiauto.TestReqres","testDeleteUser","testDeleteUser",""
