"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Feb 02 10:02:18 GMT 2025","Sun Feb 02 10:02:18 GMT 2025","197","Reqres Automation API Suite","API Test Negative","apiauto.TestNegative","apiauto.TestNegative","testNegativeRegisterUnsuccessful","testNegativeRegisterUnsuccessful",""
"passed","Sun Feb 02 10:02:13 GMT 2025","Sun Feb 02 10:02:15 GMT 2025","2424","Reqres Automation API Suite","API Test Positive","apiauto.TestReqres","apiauto.TestReqres","testDeleteUser","testDeleteUser",""
"passed","Sun Feb 02 10:02:18 GMT 2025","Sun Feb 02 10:02:18 GMT 2025","198","Reqres Automation API Suite","API Test Negative","apiauto.TestNegative","apiauto.TestNegative","testNegativeGetUser","testNegativeGetUser",""
"passed","Sun Feb 02 10:02:16 GMT 2025","Sun Feb 02 10:02:16 GMT 2025","346","Reqres Automation API Suite","API Test Positive","apiauto.TestReqres","apiauto.TestReqres","testPatchUser","testPatchUser",""
"passed","Sun Feb 02 10:02:17 GMT 2025","Sun Feb 02 10:02:17 GMT 2025","477","Reqres Automation API Suite","API Test Positive","apiauto.TestReqres","apiauto.TestReqres","testPutUser","testPutUser",""
"passed","Sun Feb 02 10:02:15 GMT 2025","Sun Feb 02 10:02:16 GMT 2025","945","Reqres Automation API Suite","API Test Positive","apiauto.TestReqres","apiauto.TestReqres","testGetListUsers","testGetListUsers",""
"passed","Sun Feb 02 10:02:17 GMT 2025","Sun Feb 02 10:02:18 GMT 2025","631","Reqres Automation API Suite","API Test Positive","apiauto.TestReqres","apiauto.TestReqres","testValidateJsonSchemaGetSingleUser","testValidateJsonSchemaGetSingleUser",""
"passed","Sun Feb 02 10:02:16 GMT 2025","Sun Feb 02 10:02:17 GMT 2025","223","Reqres Automation API Suite","API Test Positive","apiauto.TestReqres","apiauto.TestReqres","testPostCreateUser","testPostCreateUser",""
