"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","454","testPutUser","Reqres Automation API Suite","Sun Feb 02 07:13:27 UTC 2025","passed","Sun Feb 02 07:13:27 UTC 2025","apiauto.TestReqres","API Test Positive","apiauto.TestReqres","testPutUser"
"","2070","testDeleteUser","Reqres Automation API Suite","Sun Feb 02 07:13:23 UTC 2025","passed","Sun Feb 02 07:13:25 UTC 2025","apiauto.TestReqres","API Test Positive","apiauto.TestReqres","testDeleteUser"
"","602","testValidateJsonSchemaGetSingleUser","Reqres Automation API Suite","Sun Feb 02 07:13:27 UTC 2025","passed","Sun Feb 02 07:13:28 UTC 2025","apiauto.TestReqres","API Test Positive","apiauto.TestReqres","testValidateJsonSchemaGetSingleUser"
"","295","testPatchUser","Reqres Automation API Suite","Sun Feb 02 07:13:26 UTC 2025","passed","Sun Feb 02 07:13:27 UTC 2025","apiauto.TestReqres","API Test Positive","apiauto.TestReqres","testPatchUser"
"","44","testNegativeGetUser","Reqres Automation API Suite","Sun Feb 02 07:13:28 UTC 2025","passed","Sun Feb 02 07:13:28 UTC 2025","apiauto.TestNegative","API Test Negative","apiauto.TestNegative","testNegativeGetUser"
"","182","testNegativeRegisterUnsuccessful","Reqres Automation API Suite","Sun Feb 02 07:13:28 UTC 2025","passed","Sun Feb 02 07:13:28 UTC 2025","apiauto.TestNegative","API Test Negative","apiauto.TestNegative","testNegativeRegisterUnsuccessful"
"","964","testGetListUsers","Reqres Automation API Suite","Sun Feb 02 07:13:25 UTC 2025","passed","Sun Feb 02 07:13:26 UTC 2025","apiauto.TestReqres","API Test Positive","apiauto.TestReqres","testGetListUsers"
"","224","testPostCreateUser","Reqres Automation API Suite","Sun Feb 02 07:13:27 UTC 2025","passed","Sun Feb 02 07:13:27 UTC 2025","apiauto.TestReqres","API Test Positive","apiauto.TestReqres","testPostCreateUser"
